location,name,note,waterfront,state,ownership,website,elevation_feet,delta_temp,climate,visited,phone
"33.0625,-80.6159",Colleton State Park,"Small campground on a hill above the Edisto river with an easy walk down to the river's edge.  Campsites are not riverfront but some of them may have a partial view of the river through the trees.  To reserve a single night, call the campground directly within one week of arrival.  --AWH",none,SC,state,"https://reserve.southcarolinaparks.com/colleton
https://www.campsitephotos.com/campground/sc/colleton-state-park/",137,11.356363980000006,warmer,no,843-538-8206
"32.0231,-80.8512",Rivers End Campground & RV Park,"Recommended in _Where_Should_We_Camp_Next?_
RVLife 8.7/10
Interior RV park on Tybee Island; not directly on the beach or river despite the island location.  --AWH",coastal woods,GA,private,,22,13.636783980000008,warmer,no,
"32.3844,-80.4317",Hunting Island State Park,"The campground is within an easy walk of the beach, but not close enough to be considered waterfront.
Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi.  To reserve a single night, call the campground directly within one week of arrival.  --AWH",coastal woods,SC,state,"https://reserve.southcarolinaparks.com/hunting-island
https://www.campsitephotos.com/campground/sc/hunting-island-state-park/",6,13.044943980000006,warmer,yes,843-838-2011
"31.9548,-81.0526",Skidaway Island State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
RVLife 9.2/10
Campground is set in a maritime forest interior; the marsh and Skidaway Narrows are accessed via trails.  --AWH",none,GA,state,https://thedyrt.com/press/2025-best-places-to-camp-in-the-southeast-region/,55,13.642723980000008,warmer,no,
"31.8843,-81.1807",Fort McAllister Campground,"RFLife 9.2/10
Civil War Fort on the Ogeechee River.  Campground is not waterfront.  --AWH",none,GA,state,https://gastateparks.org/FortMcAllister,68,13.722823980000006,warmer,no,"912-727-2339, 912-727-4058"
"31.4246,-81.4887",Cat Head Creek RV Park,RVLife 9.4/10  --AWH,none,GA,private,https://www.catheadcreek.com/,22,14.714083980000002,much warmer,no,912-437-2441
"31.5378,-81.4573",McIntosh Lake RV Park,No check-in after 6pm.  RVLife 8.8/10.  Small pond but no sites are directly on the water.  $50/night.  --AWH,none,GA,private,https://mcintoshlakervpark.com/,29,14.486923980000004,much warmer,no,"912-832-6215, 912-224-6236"
"31.6137,-81.4017",South Newport Campground,"RVLife 7.3/10
Private campground near the Georgia coast; no confirmed waterfront camping.",none,GA,private,,42,14.303503980000002,much warmer,no,
"37.1965,-82.4402",Pound River Campground,Campground southwestern Virginia with multiple RV sites right on the Pound River.  --AWH,river,VA,private,"https://www.recreation.gov/camping/campgrounds/251949
https://www.campsitephotos.com/campground/va/pound-river-va/",1456,-0.7882360199999945,similar,no,
"40.6096,-82.2576",Mohican State Park Campground,"Sites are out in the open, but the park is worth seeing.
Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is on a hilltop/plateau area; the Clear Fork of the Mohican River runs through the park's gorge below.",none,OH,state,,928,-5.048116019999996,slightly cooler,no,
"39.4375,-82.5381",Old Man's Cave Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Hocking Hills State Park campground on a hilltop above the gorge; not directly on a water body.",none,OH,state,,931,-2.9500360199999944,similar,no,
"44.0515,-86.4945",Ludington State Park and Campgrounds,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Multiple loops nestled in coastal woodland at the confluence of Lake Michigan, Big Sable River, and Hamlin Lake, but no sites are actually on the water.  --AWH",coastal woods,MI,state,,633,-10.19053601999999,cooler,no,
"46.6032,-85.1979",Lower Falls Portage Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
A few sites appear to be directly on the Tahquamenon River, although vegetation may block the view.  --AWH",river,MI,federal,https://midnrreservations.com/,636,-14.795296019999995,much cooler,no,
"44.7156,-86.1160",Platte River Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
NPS campground in Sleeping Bear Dunes National Lakeshore.  Sites are not waterfront.  --AWH",none,MI,federal,,606,-11.292316019999998,cooler,no,
"36.3542,-89.3962",Reelfoot State Park Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground on Reelfoot Lake with waterfront sites offering direct lake access.  --AWH",lake,TN,state,,305,4.834603980000009,slightly warmer,no,
"35.5592,-83.3118",Smokemont Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Great Smoky Mountains campground on Bradley Fork creek.  Some sites in the F loop are right on the creek.  --AWH",creek,NC,federal,"https://www.recreation.gov/camping/campgrounds/232486
https://www.campsitephotos.com/campground/nc/smokemont/",2306,-0.8713960199999885,similar,no,
"37.1820,-86.0968",Mammoth Cave Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is on a ridgetop above the Green River; the river runs through the park below but the campground is in an upland forested area.",none,KY,federal,,787,1.624663980000002,similar,no,
"37.3452,-86.1272",Wax Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
USACE campground on Nolin River Lake with lakefront campsites.",lake,KY,federal,,544,2.196703980000009,similar,no,
"34.8395,-85.4840",Cloudland Canyon State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is on the canyon rim, not directly on any water body.",none,GA,state,,1771,2.3311639800000044,similar,no,
"36.3829,-81.0225",Stone Mountain State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Several sites are directly on Big Sandy Creek.  --AWH",creek,NC,state,"https://northcarolinastateparks.reserveamerica.com/camping/stone-mountain-state-park/r/campgroundDetails.do?contractCode=NC&parkId=552862
https://www.campsitephotos.com/campground/nc/stone-mountain-state-park/",1883,-0.8447560199999931,similar,no,
"30.3711,-86.2748",Topsail Hill Preserve State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is inland in a wooded area; the beach and Campbell Lake require a tram ride or walk.  --AWH",coastal woods,FL,state,https://thedyrt.com/press/2025-best-places-to-camp-in-the-southeast-region/,29,16.586983980000007,much warmer,no,
"32.3586,-86.4548",Gunter Hill Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
USACE campground on the Alabama River/Woodruff Lake with waterfront sites on the reservoir.",lake,AL,federal,,187,12.447883980000002,warmer,no,
"34.4971,-85.6273",DeSoto State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
The Little River runs through the park, but the main campground is on the plateau, not directly on the river.",none,AL,state,,1610,3.5207839800000005,similar,no,
"33.4786,-85.8094",Cheaha State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Mountaintop campground at the highest point in Alabama; no significant water frontage.",none,AL,state,,2139,3.470383980000006,similar,no,
"34.7455,-86.5121",Monte Sano State Park Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is on a mountain plateau without waterfront access.",none,AL,state,,1620,3.0385639800000064,similar,no,
"30.2600,-87.6486",Gulf State Park Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground loops are arranged around Middle Lake with some sites directly on the lakeshore and a short walk to the gulf.  --AWH",lake,AL,state,,19,16.822063980000003,much warmer,no,
"41.6975,-77.4497",Leonard Harrison campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is on the rim of Pine Creek Gorge, far above Pine Creek; not waterfront.",none,PA,state,,1870,-10.364236019999991,cooler,no,
"42.8912,-73.0385",Woodford State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground wraps around Adams Reservoir with multiple sites directly on the shoreline.",lake,VT,state,,2339,-14.185996019999989,much cooler,no,
"41.9220,-71.7550",George Washington State Campground and Management Area,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground has sites directly on Bowdish Reservoir.",pond,RI,state,,616,-6.2989360199999895,slightly cooler,no,
"41.3618,-71.7013",Burlingame State Campgrounds,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Sites directly along the shore of Watchaug Pond.",pond,RI,state,,108,-3.4770760199999984,similar,no,
"43.5737,-71.3544",Ellacoya State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Small state park directly on the shore of Lake Winnipesaukee with RV sites adjacent to the beach/lake.",lake,NH,state,,515,-8.90929602,slightly cooler,no,
"42.2334,-73.2746",Beartown State Forest,"Limited number of RV spots.  $40 non-resident.  Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground sites along the shore of Benedict Pond.",pond,MA,state,,1775,-10.98955602,cooler,no,
"44.3814,-68.0644",Schoodic Woods Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,coastal woods,ME,federal,"https://www.nps.gov/acad/planyourvisit/schoodic-woods-campground.htm
https://www.recreation.gov/camping/campgrounds/251833
https://thedyrt.com/camping/maine/schoodic-woods-campground",190,-9.204856019999992,cooler,no,
"44.2311,-69.0483",Camden Hills State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Park is on the bay but campsites do not appear to be waterfront",coastal woods,ME,state,,219,-9.039616019999992,cooler,no,
"41.6469,-73.0967",Black Rock State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground sites are in a wooded area set back from Black Rock Pond; the pond has a swimming area but campsites are not directly on it.",none,CT,state,,413,-5.078356019999998,slightly cooler,no,
"41.2667,-72.5584",Hammonasset Beach State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Connecticut's largest shoreline park on Long Island Sound; Large campground roughly a half-mile from the beach in a semi-wooded grassy area.  --AWH",coastal woods,CT,state,,6,-2.9431960199999945,similar,no,
"42.3705,-76.8824",Watkins Glen State Park Six Nations Camping Area,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is on a hilltop above the gorge; Seneca Lake is nearby but the campground is not waterfront.",none,NY,state,,984,-8.416636019999993,slightly cooler,no,
"42.6975,-77.9373",Letchworth State Park Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is on the plateau above the Genesee River gorge; the park is famous for waterfalls but the campground is not on the river.",none,NY,state,,915,-8.75953601999999,slightly cooler,no,
"38.9745,-75.5350",Killens Pond State Park Campground,"There is a pond in the park, but the campground is not waterfront.  Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi",none,DE,state,,42,1.0540639800000076,similar,no,
"39.2802,-80.0108",Tygart Lake State Park,"The park is on a lake, but the campground is not.",none,WV,state,,1151,-3.4507960199999954,similar,no,
"37.5419,-79.5834",North Creek Campground,Small first-come-first-served USFS campground in the George Washington National Forest with sites positioned directly along North Creek.  --AWH,creek,VA,federal,https://www.fs.usda.gov/r08/gwj/recreation/north-creek-campground,1171,-0.39205601999999096,similar,no,
"37.5757,-79.5346",Cave Mountain Lake Family Camp,"There is a small lake nearby, but the campground is not on the lake.  --AWH",none,VA,federal,"https://www.recreation.gov/camping/campgrounds/233397
https://www.campsitephotos.com/campground/va/cave-mountain-lake/",1253,-0.7453960199999901,similar,no,
"37.9195,-79.0073",Sherando Lake Recreation Area,"There are two small lakes nearby, but the campground is not on the lake.  --AWH",none,VA,federal,"https://www.recreation.gov/camping/campgrounds/234688
https://www.campsitephotos.com/campground/va/sherando-lake/",1880,-3.5989360199999934,similar,no,
"32.7369,-79.9924",Campground at James Island County Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Large campground in the interior of the park; while the park is on an island with marsh areas, the campground is not directly waterfront.  --AWH",none,SC,local,"https://charlestoncountyparks.reserveamerica.com/camping/the-campground-at-james-island-county-park/r/campgroundDetails.do?contractCode=CHST&parkId=1240020
https://www.campsitephotos.com/campground/sc/james-island-county-park/",9,12.398743980000008,warmer,no,
"34.9251,-82.3744",Paris Mountain State Park Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
Campground is in a wooded area on the mountain; the park's lakes are separate from the camping area.  To reserve a single night, call the campground directly within one week of arrival.  --AWH",none,SC,state,https://reserve.southcarolinaparks.com/paris-mountain,1086,4.622383980000006,slightly warmer,no,864-244-5565
"39.0889,-79.4531",Canaan Loop Road dispersed campsite #1,"High-elevation heavily-wooded back-in site with a fairly level parking area.  Stopped here briefly on the morning of April 6, 2025 and had dinner here on the evening of November 8, 2025.  --AWH",none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3717,-12.255856019999998,cooler,no,
"39.0846,-79.4591",Canaan Loop Road dispersed campsite #2,High-elevation dispersed site on the Canaan Loop Road in the Monongahela National Forest.  --AWH,none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3720,-12.259816019999997,cooler,no,
"39.0818,-79.4625",Canaan Loop Road dispersed campsite #3,High-elevation dispersed site on the Canaan Loop Road in the Monongahela National Forest.  --AWH,none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3714,-12.231376019999995,cooler,no,
"39.0776,-79.4666",Canaan Loop Road dispersed campsite #4,High-elevation dispersed site on the Canaan Loop Road in the Monongahela National Forest.  --AWH,none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3720,-12.247216019999987,cooler,no,
"39.0726,-79.4732",Canaan Loop Road dispersed campsite #5,"Small high-elevation site right along the side of the road with almost no trees and a big view of sky.  Camped here on November 8, 2025.  --AWH",none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3648,-11.980816019999997,cooler,yes,
"39.0722,-79.4736",Canaan Loop Road dispersed campsite #6,Medium-sized high-elevation site with almost no trees and a big view of the sky.  --AWH,none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3648,-11.980096019999998,cooler,yes,
"39.0693,-79.4767",Canaan Loop Road dispersed campsite #7,High-elevation dispersed site on the Canaan Loop Road in the Monongahela National Forest.  --AWH,none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3714,-12.208876019999991,cooler,no,
"39.0680,-79.4854",Canaan Loop Road dispersed campsite #8,High-elevation dispersed site on the Canaan Loop Road in the Monongahela National Forest.  --AWH,none,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3638,-11.937436019999991,cooler,no,
"39.0643,-79.5059",Canaan Loop Road possible dispersed campsite,Unverified high-elevation dispersed site on the Canaan Loop Road in the Monongahela National Forest.  Adjacent to the North Fork of Red Run Creek.  --AWH,creek,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3399,-11.07667602,cooler,no,
"39.0570,-79.5182",Canaan Loop Road dispersed campsite #12,Beautiful high-elevation site at the confluence of two creeks along the Canaan Loop Road in the Monongahela National Forest.  --AWH,creek,WV,federal,https://www.fs.usda.gov/r09/monongahela/recreation/canaan-mountain-backcountry,3290,-10.677436019999998,cooler,yes,
"37.6170,-80.9205",Bluestone State Park,Campground on Bluestone Lake (USACE reservoir) with lakeside campsites.,lake,WV,state,,2181,-4.13083601999999,slightly cooler,no,
"36.6166,-78.2875",Dick Cross Wildlife Management Area,Small WMA in the Virginia Piedmont; dispersed camping is not documented as waterfront.,none,VA,state,https://tmbtent.com/virginia-free-dispersed-camping/,252,4.5494839800000095,slightly warmer,no,
"38.4212,-78.4062",Rapidan WMA,"Rapidan WMA permit required
WMA dispersed camping area; sites are parking-area based and not confirmed to be directly on the Rapidan River.",none,VA,state,https://tmbtent.com/virginia-free-dispersed-camping/,1617,-3.5659960199999925,similar,no,
"36.7900,-79.3297",White Oak Mountain Wildlife Management Area,Mountain/upland WMA; no waterfront features noted.,none,VA,state,https://tmbtent.com/virginia-free-dispersed-camping/,839,2.1430639800000075,similar,no,
"37.4674,-77.9110",Amelia Wildlife Management Area,"One of the best dispersed camping areas in VA according to tmbtent.com
Multiple parking areas, including one on the lake.  --AWH",lake,VA,state,https://dwr.virginia.gov/wma/amelia/,328,2.7489439800000097,similar,no,
"37.1991,-80.8851",Walnut Flats Campground,Small no-fee first-come-first-served USFS campground near the Appalachian Trail.  --AWH,none,VA,federal,"https://tmbtent.com/virginia-free-dispersed-camping/
https://www.fs.usda.gov/r08/gwj/recreation/walnut-flats-campground",2408,-4.185916019999997,slightly cooler,no,
"38.1539,-79.5968",Scotchtown Draft dispersed camping area,"Sites on the north side of the road have great views, and the site closest to the river has water access.  Indian Draft Road is paved, but quite steep.  Scotchtown Draft Road is a dirt road that’s less steep, but can get pretty rugged in places.  --AWH",river,VA,federal,https://tmbtent.com/virginia-free-dispersed-camping/,1545,-2.8274560199999943,similar,no,
"37.7479,-79.2648",Oronoco Campground,Dispersed camping area in the Blue Ridge Mountains; no waterfront features documented.,none,VA,federal,https://tmbtent.com/virginia-free-dispersed-camping/,1719,-2.7167560199999965,similar,no,
"37.2652,-76.8722",Chickahominy Riverfront Park,"One of VA's best RV campgrounds according to campingprepper.com
Multiple riverfront sites (106-118 suitable for campervans).  --AWH",river,VA,local,https://www.jamescitycountyva.gov/4149/Chickahominy-Riverfront-Park,22,4.2010039800000065,slightly warmer,yes,
"35.7516,-82.2209",Black Mountain Campground,"High-elevation USFS campground in Pisgah National Forest; RV sites 1, 7, and 17 are directly along the South Toe River.  --AWH",creek,NC,federal,"https://www.fs.usda.gov/r08/northcarolina/recreation/black-mountain-campground
https://www.recreation.gov/camping/campgrounds/273780
https://campingprepper.com/asheville-nc-campgrounds/",3031,-3.8034160199999993,similar,no,
"35.4029,-82.7568",Mount Pisgah Campground,High-elevation Blue Ridge Parkway campground with no water bodies adjacent.,none,NC,federal,"https://www.recreation.gov/camping/campgrounds/234182
https://campingprepper.com/asheville-nc-campgrounds/",4947,-10.008556019999999,cooler,no,
"37.6865,-77.9247",Powhatan State Park,The park is on the James River but the campground sites are on a bluff/wooded area above the river; sites are not directly on the water.,none,VA,state,"https://www.dcr.virginia.gov/state-parks/powhatan
https://www.reservevaparks.com/Web/#!park/26",239,2.6704639800000014,similar,no,
"37.5486,-76.3100",Cross Rip Campground,Private campground right on the bay with a few waterfront sites.  Slightly pricey but not outrageous given facilities and location.  --AWH,bay,VA,private,https://crossripcamp.com/,16,3.714283980000005,similar,no,
"35.4877,-82.6297",Lake Powhatan Recreation Area & Campground,"There is a small lake nearby, but the campground is not on the lake.",none,NC,federal,https://campingprepper.com/asheville-nc-campgrounds/,2345,-0.8830960199999877,similar,no,
"35.5660,-82.5874",Wilson's Riverfront RV Park,Several $40 primitive RV sites right on the French Broad River.  Good Sam discount available.  --AWH,river,NC,private,https://wilsonsrvpark.com/,1978,0.28636398000000146,similar,no,
"37.1445,-76.6848",Hog Island Wildlife Management Area - Carlisle Tract,Low-lying WMA peninsula on the James River estuary near the Chesapeake Bay with multiple camping areas along a dedicated fishing beach.  --AWH,bay,VA,state,,19,4.429963980000005,slightly warmer,no,
"37.3176,-76.9127",Chickahominy Wildlife Management Area,WMA along the Chickahominy River with one riverfront camping/parking spot just north of the Eagle Bottom area.  --AWH,river,VA,state,,52,4.001383980000008,slightly warmer,no,
"37.7568,-78.4286",Hardware River Wildlife Management Area,"WMA near the Hardware River, but camping is parking-area based and not confirmed to be directly on the water.",none,VA,state,,337,2.192923980000009,similar,no,
"37.3741,-78.5803",Featherfin Wildlife Management Area,"WMA near the Briery Creek watershed, but camping is not confirmed to be directly lakeside.",none,VA,state,,406,2.6360839800000084,similar,no,
"37.1756,-78.2787",Twin Lakes State Park,Park is located on a lake.  Campground is not lakefront.,none,VA,state,"https://www.dcr.virginia.gov/state-parks/twin-lakes
https://www.reservevaparks.com/Web/#!park/34",511,2.6189839800000008,similar,no,
"37.5320,-78.2732",Bear Creek Lake State Park,"There is one waterfront RV site (A18).
In 2026, campground opens 3/6 and will be closed 5/4-17, 6/21-7/1, and 8/10-23.  --AWH",lake,VA,state,"https://www.dcr.virginia.gov/state-parks/bear-creek-lake
https://www.reservevaparks.com/Web/#!park/1",328,2.6326639800000122,similar,no,
"37.3980,-78.6414",Holliday Lake State Park,Park is located on a lake.  Campground is not lakefront.,none,VA,state,"https://www.dcr.virginia.gov/state-parks/holliday-lake
https://www.reservevaparks.com/Web/#!park/13",547,2.08996398,similar,no,
"37.1967,-78.4373",Briery Creek Wildlife Management Area,"WMA centered on the 845-acre Briery Creek Lake with multiple camping/parking areas at the lakeshore, two of which are within the no-hunting safety area.  --AWH",lake,VA,state,https://dwr.virginia.gov/wma/briery-creek/,501,2.616103980000006,similar,no,
"38.1855,-79.8263",Bath County Recreational Campground,County campground in the mountains of Bath County; no waterfront features documented.,none,VA,local,,2060,-4.72123601999999,slightly cooler,no,
"36.1252,-81.2428",Bandits Roost Campground,USACE campground on W. Kerr Scott Reservoir with lakefront sites on the shoreline.  --AWH,lake,NC,federal,"https://www.saw.usace.army.mil/Locations/District-Lakes-and-Dams/W-Kerr-Scott/Recreation/Recreation-Areas/
https://www.recreation.gov/camping/campgrounds/233421",1049,2.590903980000007,similar,no,
"36.7884,-80.0947",Fairy Stone State Park,State Park on Fairy Stone Lake.  Cabins are waterfront but campground is not.  --AWH,none,VA,state,,1204,0.8472439800000009,similar,no,
"36.0230,-78.6994",Falls Lake State Recreation Area,Wooded campground with multiple lakefront RV sites.  --AWH,lake,NC,state,https://northcarolinastateparks.reserveamerica.com/camping/falls-lake-state-recreation-area/r/campgroundDetails.do?contractCode=NC&parkId=552902,360,5.23186398,slightly warmer,no,
"39.6803,-79.7806",Chestnut Ridge Regional Park,"campingprepper.com/best-west-virginia-rv-campgrounds
Ridge-top park near Morgantown; no significant water bodies at the campground.",none,WV,local,,2214,-7.961776019999998,slightly cooler,no,
"37.5187,-80.9820",Pipestem Campground,"campingprepper.com/best-west-virginia-rv-campgrounds
Campground on a mountain plateau above the Bluestone River gorge; far above the river.",none,WV,state,,2765,-6.036496019999999,slightly cooler,no,
"38.0063,-80.0109",Lake Sherwood Recreation Area,One of WV's best campgrounds with several campsites are right on the lake.  --AWH,lake,VA,federal,https://www.recreation.gov/camping/campgrounds/232009,2736,-6.808876019999999,slightly cooler,yes,
"38.6653,-80.3545",Holly River State Park,"campingprepper.com/best-west-virginia-rv-campgrounds
Campground in a narrow valley along the Left Fork of Holly River with some sites along the creek.",creek,WV,state,,1738,-4.438276019999998,slightly cooler,no,
"38.1995,-80.8666",Summersville Lake Retreat & Lighthouse,Voted best campground in WV by campingprepper.com.  Primitive campsites seem to be available at a reasonable price for small RVs.  No lakefront sites.,none,WV,private,,2037,-4.664536019999995,slightly cooler,no,
"38.7935,-80.5614",Bulltown Campground,"One of WV's best campgrounds according to campingprepper.com
Multiple lakefront campsites",lake,WV,federal,https://www.recreation.gov/camping/campgrounds/233443,882,-1.6153360199999969,similar,no,
"38.6348,-80.5746",Baker's Run Campground,"campingprepper.com/best-west-virginia-rv-campgrounds
USACE campground on the Elk River/Burnsville Lake area with waterfront sites.",river,WV,federal,,938,-1.5285760199999914,similar,no,
"38.8897,-79.2388",Big Bend Campground,USFS campground along the South Branch of the Potomac River in the Smoke Hole canyon with sites adjacent to the water.  Some sites are reservable.  Open early April to late October.  --AWH,river,WV,federal,"https://www.fs.usda.gov/r09/monongahela/recreation/big-bend-campground
https://www.recreation.gov/camping/campgrounds/232019
campingprepper.com/best-west-virginia-rv-campgrounds",1246,-3.08719601999999,similar,no,
"35.9416,-76.5756",Spruill Conservation Farm (HipCamp),Beautiful soundfront views on the Swan Bay area of Albemarle Sound.  --AWH,bay,NC,private,https://www.hipcamp.com/en-US/land/north-carolina-spruill-conservation-farm-v1qhn55d,6,6.641983980000004,slightly warmer,no,
"38.9807,-78.0037",1560 Fire Trail Rd,"County Line Parking Area, Thompson WMA, permit required",none,VA,state,,1925,-5.672896019999992,slightly cooler,no,
"38.9854,-77.9996",1690 Fire Trail Rd,"Appalachian Trail Parking Area, Thompson WMA, permit required.  --AWH",none,VA,state,,1834,-5.353756019999992,slightly cooler,yes,
"38.9918,-77.9946",1868 Fire Trail Rd,"Orchard Parking Area, Thompson WMA, permit required",none,VA,state,,1748,-5.06107601999999,slightly cooler,no,
"38.9676,-78.0183",300 Fire Trail Rd,"Ridge Parking Area, Thompson WMA, permit required",none,VA,state,,2044,-6.070516019999989,slightly cooler,no,
"38.9716,-78.0176",630 Fire Trail Rd,"Rock Spring Parking Area, Thompson WMA, permit required",none,VA,state,,2050,-6.101116019999997,slightly cooler,no,
"41.6633,-77.8193",Cherry Springs State Park Rustic Campground,"Cherry Springs State Park is nearly as remote and wild today as it was two centuries ago. Its dark skies make it a haven for astronomers. Due to its exceptionally dark skies, Cherry Springs State Park is one of the best places on the eastern seaboard for stargazing and the science of astronomy",none,PA,state,,2309,-11.870476019999993,cooler,no,
"37.1964,-112.9876",Watchman Campground,"This high-elevation Zion National Park campground nestled at the base of the iconic Watchman Peak offers dramatic views of red sandstone cliffs. The towering formations create a breathtaking backdrop, especially at sunrise or sunset.",none,UT,federal,,3927,-9.598156019999989,cooler,no,
"36.2088,-112.0602",North Rim Campground,"Perched on the quieter, less-visited North Rim at high elevation, this campground provides jaw-dropping vistas of the Grand Canyon's vast expanse. The elevation and remoteness enhance the sweeping views of the canyon's layered cliffs.",none,AZ,federal,,8337,-23.545276019999985,much cooler,no,
"39.1428,-106.8953",Silver Bell,"High-elevation campground located near Aspen, framing the iconic Maroon Bells—twin peaks rising above Maroon Lake. The rugged Elk Mountains and golden aspens in fall make it a postcard-worthy spot.  Not lakefront.",none,CO,federal,,8517,-29.469976019999994,much cooler,no,
"35.9900,-121.4957",Kirk Creek Campground,"Perched high above the Pacific Ocean along the rugged Big Sur coast, this spot offers RV sites with panoramic views of waves crashing against the cliffs below.  --AWH",coastal dunes,CA,federal,"https://www.recreation.gov/camping/campgrounds/233116
https://www.campsitephotos.com/campground/ca/kirk-creek/",242,5.7124639800000026,slightly warmer,no,
"48.7967,-113.6773",Many Glacier Campground,High-elevation campground with stunning views of Glacier's iconic mountains.  Several campsites are right on the creek.  A lake is nearby.,creek,MT,federal,,4928,-34.04719602,much cooler,no,
"37.8712,-119.3577",Tuolumne Meadows Campground,"High in the Sierra Nevada, this Yosemite campground features sweeping views of granite domes, meadows, and waterfalls.  Site A028 is the only RV site that backs up directly to the river.",river,CA,federal,,8651,-27.660796019999996,much cooler,no,
"47.6130,-124.3761",Kalaloch Campground,"Olympic National Park campground overlooking the Pacific Ocean, this campground provides dramatic coastal views from bluff-top sites.  --AWH",coastal dunes,WA,federal,,49,-14.518636019999994,much cooler,no,
"38.4860,-109.7404",Kayenta Campground,"High-elevation campground just outside Arches and Canyonlands, overlooking the Colorado River's dramatic 2,000-foot cliffs. The sunrise casts a fiery glow over the desert landscape, rivaling the Grand Canyon in grandeur.
Campground on a mesa top far above the Colorado River; not at river level.",none,UT,federal,,5974,-19.220236019999987,much cooler,no,
"29.1839,-81.7120",Juniper Springs Campground,Ocala National Forest campground adjacent to the crystal-clear Juniper Springs Run.  Campsites are not waterfront.,none,FL,federal,,72,18.571843980000004,much warmer,no,
"39.0773,-86.4419",Paynetown Campground,"Situated on Indiana's largest lake, this campground offers several lakefront campsites.",lake,IN,state,https://indianastateparks.reserveamerica.com/,534,-0.885976019999996,similar,no,
"37.2015,-86.2377",Houchin Ferry Campground,NPS campground in Mammoth Cave National Park with waterfront sites along the Green River.,river,KY,federal,,472,2.7127639800000005,similar,no,
"46.8264,-93.1515",Savanna Portage State Park Campground,"East of the Mississippi in northern Minnesota, this campground overlooks shimmering lakes surrounded by dense woods. The peaceful water views and vibrant autumn colors stand out.
Campground with lakefront sites on Savanna Lake.",lake,MN,state,,1312,-17.607256019999994,much cooler,no,
